Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.31,0.3435544837630341
75% Corpus,5,0.01,0.61,0.3924578615245332
75% Corpus,5,0.01,0.9099999999999999,0.41323083038571395
75% Corpus,5,0.01,symmetric,0.3156778110513061
75% Corpus,5,0.31,0.01,0.2930921922495244
75% Corpus,5,0.31,0.31,0.34258945128377494
75% Corpus,5,0.31,0.61,0.40975600902393267
75% Corpus,5,0.31,0.9099999999999999,0.3939367743054184
75% Corpus,5,0.31,symmetric,0.33205465139608015
75% Corpus,5,0.61,0.01,0.31460885565361635
75% Corpus,5,0.61,0.31,0.34093381025997077
75% Corpus,5,0.61,0.61,0.3449852067277651
75% Corpus,5,0.61,0.9099999999999999,0.4414143415636744
75% Corpus,5,0.61,symmetric,0.33339323625168704
75% Corpus,5,0.9099999999999999,0.01,0.31480559721329426
75% Corpus,5,0.9099999999999999,0.31,0.32377372558421164
75% Corpus,5,0.9099999999999999,0.61,0.3103834620102556
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3679548357712858
75% Corpus,5,0.9099999999999999,symmetric,0.3332664945386356
75% Corpus,5,symmetric,0.01,0.30208019308498846
75% Corpus,5,symmetric,0.31,0.3211242534274911
75% Corpus,5,symmetric,0.61,0.3858969061234813
75% Corpus,5,symmetric,0.9099999999999999,0.3933005226187065
75% Corpus,5,symmetric,symmetric,0.33459884773696674
75% Corpus,5,asymmetric,0.01,0.32344901574436635
75% Corpus,5,asymmetric,0.31,0.3635388917883763
75% Corpus,5,asymmetric,0.61,0.4600975231968755
75% Corpus,5,asymmetric,0.9099999999999999,0.45910435487135953
75% Corpus,5,asymmetric,symmetric,0.38829266337625634
75% Corpus,6,0.01,0.01,0.2925544458068426
75% Corpus,6,0.01,0.31,0.31247019541503934
75% Corpus,6,0.01,0.61,0.3785824924295788
75% Corpus,6,0.01,0.9099999999999999,0.3455355856991656
75% Corpus,6,0.01,symmetric,0.3144067173959962
75% Corpus,6,0.31,0.01,0.2823126113407993
75% Corpus,6,0.31,0.31,0.3230421986628152
75% Corpus,6,0.31,0.61,0.37515035877476044
75% Corpus,6,0.31,0.9099999999999999,0.4584633231636128
75% Corpus,6,0.31,symmetric,0.3094727591480811
75% Corpus,6,0.61,0.01,0.30932547087727436
75% Corpus,6,0.61,0.31,0.31692726905540974
75% Corpus,6,0.61,0.61,0.3472942732582944
75% Corpus,6,0.61,0.9099999999999999,0.4270928166683721
75% Corpus,6,0.61,symmetric,0.3354287662355975
75% Corpus,6,0.9099999999999999,0.01,0.3054363616990805
75% Corpus,6,0.9099999999999999,0.31,0.32693550598977156
75% Corpus,6,0.9099999999999999,0.61,0.344057156963006
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.395057652041008
75% Corpus,6,0.9099999999999999,symmetric,0.33006473667702196
75% Corpus,6,symmetric,0.01,0.29271453601060515
75% Corpus,6,symmetric,0.31,0.32795822340627595
75% Corpus,6,symmetric,0.61,0.39221736457622564
75% Corpus,6,symmetric,0.9099999999999999,0.36748593454068024
75% Corpus,6,symmetric,symmetric,0.3056787663713731
75% Corpus,6,asymmetric,0.01,0.35937673649265917
75% Corpus,6,asymmetric,0.31,0.4800401965476328
75% Corpus,6,asymmetric,0.61,0.4560342979508641
75% Corpus,6,asymmetric,0.9099999999999999,0.4879651125162902
75% Corpus,6,asymmetric,symmetric,0.40165805142098954
75% Corpus,7,0.01,0.01,0.2900630493628525
75% Corpus,7,0.01,0.31,0.3202317014543066
75% Corpus,7,0.01,0.61,0.42076227840152036
75% Corpus,7,0.01,0.9099999999999999,0.38572341062015386
75% Corpus,7,0.01,symmetric,0.3141185545868492
75% Corpus,7,0.31,0.01,0.31379944952581085
75% Corpus,7,0.31,0.31,0.4019350417686961
75% Corpus,7,0.31,0.61,0.4085925445062125
75% Corpus,7,0.31,0.9099999999999999,0.41091884411026697
75% Corpus,7,0.31,symmetric,0.3039539405163708
75% Corpus,7,0.61,0.01,0.3189988951436646
75% Corpus,7,0.61,0.31,0.30867927002396595
75% Corpus,7,0.61,0.61,0.32418822985704987
75% Corpus,7,0.61,0.9099999999999999,0.4605476308185966
75% Corpus,7,0.61,symmetric,0.3215517540209092
75% Corpus,7,0.9099999999999999,0.01,0.3345037804104519
75% Corpus,7,0.9099999999999999,0.31,0.3310701683128404
75% Corpus,7,0.9099999999999999,0.61,0.32681774962209575
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4029280263805175
75% Corpus,7,0.9099999999999999,symmetric,0.3059309504236096
75% Corpus,7,symmetric,0.01,0.3152489486136508
75% Corpus,7,symmetric,0.31,0.3320076628213822
75% Corpus,7,symmetric,0.61,0.42470782843349125
75% Corpus,7,symmetric,0.9099999999999999,0.4199640116952145
75% Corpus,7,symmetric,symmetric,0.30888757560374713
75% Corpus,7,asymmetric,0.01,0.31219657972955844
75% Corpus,7,asymmetric,0.31,0.49173164711597905
75% Corpus,7,asymmetric,0.61,0.5246743226794932
75% Corpus,7,asymmetric,0.9099999999999999,0.42195440521086586
75% Corpus,7,asymmetric,symmetric,0.43142317126862145
75% Corpus,8,0.01,0.01,0.3079954852904032
75% Corpus,8,0.01,0.31,0.35959681352601736
75% Corpus,8,0.01,0.61,0.37086199595840663
75% Corpus,8,0.01,0.9099999999999999,0.3960167873542313
75% Corpus,8,0.01,symmetric,0.34869587052320206
75% Corpus,8,0.31,0.01,0.30008548373427396
75% Corpus,8,0.31,0.31,0.38681829766101206
75% Corpus,8,0.31,0.61,0.4252939556263832
75% Corpus,8,0.31,0.9099999999999999,0.4083663807940202
75% Corpus,8,0.31,symmetric,0.3270343666871849
75% Corpus,8,0.61,0.01,0.3370734011150397
75% Corpus,8,0.61,0.31,0.31749186481194064
75% Corpus,8,0.61,0.61,0.38847034254920143
75% Corpus,8,0.61,0.9099999999999999,0.4391500158852415
75% Corpus,8,0.61,symmetric,0.3041434349918294
75% Corpus,8,0.9099999999999999,0.01,0.2904975685074799
75% Corpus,8,0.9099999999999999,0.31,0.3249005244085116
75% Corpus,8,0.9099999999999999,0.61,0.3381724586424082
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4062721787177339
75% Corpus,8,0.9099999999999999,symmetric,0.2981069034885694
75% Corpus,8,symmetric,0.01,0.28157394341236586
75% Corpus,8,symmetric,0.31,0.3916473113987621
75% Corpus,8,symmetric,0.61,0.3727702450333318
