Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,0.4111683695825621
100% Corpus,9,0.31,0.61,0.4528594438410684
100% Corpus,9,0.31,0.9099999999999999,0.47104041220297055
100% Corpus,9,0.31,symmetric,0.3710719585336025
100% Corpus,9,0.61,0.01,0.33654324618605985
100% Corpus,9,0.61,0.31,0.344870819087912
100% Corpus,9,0.61,0.61,0.381097571758918
100% Corpus,9,0.61,0.9099999999999999,0.43828855415455226
100% Corpus,9,0.61,symmetric,0.3282892577335316
100% Corpus,9,0.9099999999999999,0.01,0.3285095893249401
100% Corpus,9,0.9099999999999999,0.31,0.33335229254447646
100% Corpus,9,0.9099999999999999,0.61,0.33527334318307617
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.366804609956496
100% Corpus,9,0.9099999999999999,symmetric,0.3121557214966709
100% Corpus,9,symmetric,0.01,0.3532436397452942
100% Corpus,9,symmetric,0.31,0.34724065176014296
100% Corpus,9,symmetric,0.61,0.45270104545123924
100% Corpus,9,symmetric,0.9099999999999999,0.4117730431721405
100% Corpus,9,symmetric,symmetric,0.3901544451909045
100% Corpus,9,asymmetric,0.01,0.35330388819222097
100% Corpus,9,asymmetric,0.31,0.4932766665266649
100% Corpus,9,asymmetric,0.61,0.5087148821884635
100% Corpus,9,asymmetric,0.9099999999999999,0.5085707022391328
100% Corpus,9,asymmetric,symmetric,0.4528811588382783
100% Corpus,10,0.01,0.01,0.33018228166978025
100% Corpus,10,0.01,0.31,0.40443999107001893
100% Corpus,10,0.01,0.61,0.4246292352712796
100% Corpus,10,0.01,0.9099999999999999,0.3757791061772378
100% Corpus,10,0.01,symmetric,0.40082803302150244
100% Corpus,10,0.31,0.01,0.33962675770249784
100% Corpus,10,0.31,0.31,0.4153663953648098
100% Corpus,10,0.31,0.61,0.5032063491523304
100% Corpus,10,0.31,0.9099999999999999,0.4537032855869333
100% Corpus,10,0.31,symmetric,0.3552188522679594
100% Corpus,10,0.61,0.01,0.333633141527423
100% Corpus,10,0.61,0.31,0.31680923954618434
100% Corpus,10,0.61,0.61,0.4154269189891956
100% Corpus,10,0.61,0.9099999999999999,0.41866003159792103
100% Corpus,10,0.61,symmetric,0.31498264740703613
100% Corpus,10,0.9099999999999999,0.01,0.32086477326021046
100% Corpus,10,0.9099999999999999,0.31,0.33616365009081706
100% Corpus,10,0.9099999999999999,0.61,0.36662457779456237
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3802869736532049
100% Corpus,10,0.9099999999999999,symmetric,0.3035490533716995
100% Corpus,10,symmetric,0.01,0.32542067684638526
100% Corpus,10,symmetric,0.31,0.40481711216118416
100% Corpus,10,symmetric,0.61,0.48574654208374746
100% Corpus,10,symmetric,0.9099999999999999,0.4298023388914604
100% Corpus,10,symmetric,symmetric,0.38922731948991574
100% Corpus,10,asymmetric,0.01,0.3425266688706828
100% Corpus,10,asymmetric,0.31,0.5174454956164535
100% Corpus,10,asymmetric,0.61,0.5331331995645993
100% Corpus,10,asymmetric,0.9099999999999999,0.4568788898216766
100% Corpus,10,asymmetric,symmetric,0.44692661143712675
